Provinsi,Kelapa_Sawit,Kelapa,Karet,Kopi,Kakao,Teh,Tebu
ACEH,1092.71,64.1,51.17,74.13,34.17,0.0,0.0
SUMATERA UTARA,5120.02,103.64,251.52,91.69,38.48,10.14,14.52
SUMATERA BARAT,1410.64,79.06,99.67,15.32,34.58,5.6,0.0
RIAU,9136.1,399.95,180.74,1.83,0.84,0.0,0.0
JAMBI,2113.97,115.35,222.56,23.23,0.69,4.24,0.0
SUMATERA SELATAN,3967.39,61.65,619.55,219.59,4.4,2.62,124.37
BENGKULU,1298.17,7.25,64.6,55.63,2.36,1.88,0.0
LAMPUNG,375.24,83.76,84.83,120.38,48.11,0.0,644.48
KEP. BANGKA BELITUNG,860.24,4.55,26.04,0.11,0.29,0.0,0.0
KEP. RIAU,24.19,12.16,8.41,0.0,0.01,0.0,0.0
DKI JAKARTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAWA BARAT,46.75,88.14,21.17,26.48,0.71,80.24,55.17
JAWA TENGAH,0.0,139.01,20.73,26.79,1.31,11.81,250.07
DI YOGYAKARTA,0.0,50.08,0.01,1.88,2.03,0.23,3.22
JAWA TIMUR,0.0,194.14,16.27,53.25,10.56,2.14,1252.84
BANTEN,32.84,45.83,5.77,2.02,2.12,0.01,0.0
BALI,0.0,68.39,0.0,14.71,4.87,0.0,0.0
NUSA TENGGARA BARAT,0.0,49.81,0.0,6.42,2.59,0.0,18.22
NUSA TENGGARA TIMUR,0.0,62.15,0.0,24.38,21.08,0.0,10.77
KALIMANTAN BARAT,4958.54,76.8,158.41,2.98,0.6,0.0,0.0
KALIMANTAN TENGAH,7458.14,16.6,108.29,0.24,1.61,0.0,0.0
KALIMANTAN SELATAN,1255.08,24.01,127.96,0.89,0.05,0.0,0.0
KALIMANTAN TIMUR,3905.19,9.82,53.49,0.12,1.03,0.0,0.0
KALIMANTAN UTARA,611.14,0.64,0.16,0.11,0.79,0.0,0.0
SULAWESI UTARA,0.0,270.3,0.0,3.72,5.62,0.0,0.0
SULAWESI TENGAH,384.2,199.64,1.37,3.13,125.2,0.0,0.0
SULAWESI SELATAN,133.5,67.57,3.77,31.79,80.52,0.0,22.56
SULAWESI TENGGARA,75.47,42.87,0.22,2.61,98.02,0.0,15.41
GORONTALO,22.83,66.7,0.0,0.13,1.54,0.0,53.89
SULAWESI BARAT,366.68,36.72,0.0,4.75,67.14,0.0,0.0
MALUKU,22.33,107.73,0.6,0.49,8.59,0.0,0.0
MALUKU UTARA,20.14,204.17,0.0,0.02,7.38,0.0,0.0
PAPUA BARAT,40.38,2.02,0.0,0.01,0.24,0.0,0.0
PAPUA BARAT DAYA,43.44,14.35,0.0,0.0,0.76,0.0,0.0
PAPUA,130.55,9.77,0.0,0.09,8.0,0.0,0.0
PAPUA SELATAN,482.37,4.35,4.82,0.0,0.01,0.0,0.0
PAPUA TENGAH,47.98,1.2,0.0,1.18,0.82,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.02,0.0,3.27,0.0,0.0,0.0
